decile1b,decile3,ID,decile1,sex,race,cluster,lsat,ugpa,zfygpa,DOB_yr,grad,zgpa,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,age,gender,parttime,male,race1,race2,Dropout,other,asian,black,hisp,pass_bar,bar,tier,index6040,indxgrp,indxgrp2
,,1,01,1,7,2,30,3.1,-1.79,68,X,,,,,,1,4,,female,0,0,white,b white,NO,0,0,0,0,,,2,625.78946,e 580-640,e 580-640
10,10,2,10,1,7,1,44,3.5,1.33,69,Y,1.88,P,7,P,94,1,5,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,886.842082,g 700+,i 820+
05,04,3,05,1,7,2,29,3.5,-0.11,69,Y,-0.57,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,649.9999869999999,f 640-700,f 640-700
09,09,4,09,1,7,3,35,3,1.22,58,Y,0.95,,,,,2,5,,female,1,0,white,b white,NO,0,0,0,0,,d Never took bar,3,694.736825,f 640-700,f 640-700
,,5,09,1,7,2,39,2.9,0.88,51,X,,,,,,2,4,,female,1,0,white,b white,NO,0,0,0,0,,,2,747.8947169999999,g 700+,g 700-760
08,07,6,08,2,7,1,37,3.4,0.63,68,Y,0.37,P,7,P,94,1,3,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,766.3157709999999,g 700+,h 760-820
08,07,7,08,1,7,1,43,3.3,0.67,67,Y,0.34,P,7,P,94,1,4,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,851.052609,g 700+,i 820+
09,09,8,10,2,7,2,37,2.6,1.23,65,Y,0.92,,,,,1,4,,male,0,1,white,b white,NO,0,0,0,0,,d Never took bar,2,686.315771,f 640-700,f 640-700
03,02,9,03,1,7,4,41,3.3,-0.67,64,Y,-1.3,P,7,P,94,1,4,-57,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,819.473663,g 700+,h 760-820
,,10,,2,2,5,37,,,65,Y,-2.01,F,7,F,95,1,4,-58,male,0,1,asian,c other,NO,0,1,0,0,0,c Failed,6,,a under 400,a under 400
01,01,11,01,2,7,3,24.5,2.2,-1.73,66,Y,-1.34,F,7,P,96,1,4,-59,male,0,1,white,b white,NO,0,0,0,0,1,b Passed 2nd time,3,448.9473585,b 400-460,b 400-460
04,04,12,04,1,7,3,34,3.3,-0.32,68,Y,-0.38,F,7,P,95,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,3,708.9473519999999,g 700+,g 700-760
02,03,13,02,2,7,2,35,3.2,-0.92,64,Y,-0.72,F,2,F,96,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,0,c Failed,2,714.736825,g 700+,g 700-760
05,05,14,05,1,7,1,40,2.4,-0.05,56,Y,-0.03,F,7,P,95,1,3,-49,female,0,0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,4,713.68419,g 700+,g 700-760
,,15,02,1,7,2,31,2.9,-1.1,68,O,,,,,,1,4,,female,0,0,white,b white,YES,0,0,0,0,,e non-Grad,2,621.578933,e 580-640,e 580-640
,,16,,2,3,5,37,3.6,,69,Y,0,F,7,P,95,1,3,-62,male,0,1,black,a black,NO,0,0,1,0,1,b Passed 2nd time,6,786.315771,g 700+,h 760-820
08,09,17,08,1,7,1,35,2.9,0.73,62,Y,0.94,P,7,P,94,1,3,-55,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,684.736825,f 640-700,f 640-700
,,18,01,2,3,1,17,3.1,-1.82,54,Y,,,,,,1,2,,male,0,1,black,a black,NO,0,0,1,0,,d Never took bar,4,420.526311,b 400-460,b 400-460
,,19,,1,7,5,33,3.3,,67,Y,,P,7,P,94,1,4,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,693.157879,f 640-700,f 640-700
,,20,,2,7,1,35,3.3,,69,O,,,,,,1,4,,male,0,1,white,b white,YES,0,0,0,0,,e non-Grad,4,724.736825,g 700+,g 700-760
03,01,21,03,1,7,3,28,2.4,-0.59,53,Y,-1.49,P,7,P,95,1,3,-46,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,524.210514,d 520-580,d 520-580
,,22,01,2,3,6,26,2.5,-3.22,60,O,,,,,,1,3,,male,0,1,black,a black,YES,0,0,1,0,,e non-Grad,1,502.631568,c 460-520,c 460-520
02,03,23,03,1,7,4,32.5,3.2,-0.76,69,Y,-0.56,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,675.2631425,f 640-700,f 640-700
09,09,24,09,2,7,6,32.5,2.4,1.04,66,Y,1.09,P,7,P,94,1,3,-59,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,1,595.2631425,e 580-640,e 580-640
07,08,25,08,1,3,6,23,2.8,0.56,64,Y,0.87,P,7,P,94,1,3,-57,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,1,485.263149,c 460-520,c 460-520
04,03,26,05,1,7,3,37,2.8,-0.23,69,Y,-0.72,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,706.3157709999999,g 700+,g 700-760
09,09,27,09,1,7,5,41,3.9,1.08,64,Y,0.88,P,7,P,94,1,3,-57,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,879.473663,g 700+,i 820+
03,04,28,03,1,3,5,40,2.8,-0.69,65,Y,-0.45,P,7,P,94,1,4,-58,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,6,753.68419,g 700+,g 700-760
